Transcript,Actual_Label,Predicted_Label,Phishing_Score(%),Is_Correct
안녕하세요. 2시간이 지났는데 식사는 맛있게 하셨나요? 네. 맛있게 먹었답니다. 방금 햄버거를 먹었어요! 햄버거 좋아하거든요. 오. 맛있었겠네요. ㅎㅎ 저는 친구와 역 근처에 있는 양식 맛집에서 파스타를 먹었어요. ㅎㅎ. 파스타 맛있겠어요! 역근처면 역세권이네요? 부러워요. 맞아요. ㅎㅎ 참고로 제가 서울에 사는데 제 집이 역세권인데 맛집도 역세권이예요. ㅋㅋ. 역시 역세권에 살면 혜택을 많이보나봐요. 부러워요ㅠㅠ. 맞아요. 저도 그렇게 생각해요. 다른 맛집을 가고 싶으면 지하철 비용만 내면 저렴하게 이동할 수 있으니까요. 저도 열심히 돈벌어서 역세권 근처로 이사가고싶어요! 돈을 많이 벌고 잘 저축하길 바래요. ㅎㅎ 제가 그렇게 살아왔거든요. 저축으로도 역세권을 갈 정도라니 정말 유능하시네요! 전 투자 공부나 할려구요. 제가 젊었을 때는 우리나라가 고성장 시기여서 가능했던 걸 수도 있어요. 투자 공부 열심히 하셔서 투자에 성공하시길 바래요. ㅎㅎ. 감사합니다! 요즘같은 시기라도 희망을 잃으면 안되니까요. 맞아요. 저도 희망을 잃지 않기 위해 노력해야 겠어요. 제 남편이 정년은퇴하기 전까진 버텨야 하니까요. 이제 전 자러 갈게요. 응원할게요. 이제 저도 슬슬 자러갈게요. 다음에 봐요!,정상,피싱,100.0%,X
안녕하세요. 어제 하루는 잘 마무리하셨나요? 네. 일찍 잤더니 개운해서 일 열심히 했답니다. 오. 개운하다니 다행이네요. 체력이 좋으신가봐요. ㅎㅎ. 네~. 뭐든지 열심히 하는 성격 덕분인가봐요. 혹시 운동도 하시나요? 성격만으로는 부족할 거 같아서요. ㅎㅎ. 운동도 꾸준히 하고있어요! 맨몸운동만 하고있지만요. 맨몸 운동이라는 건 혹시 저처럼 집 근처 공원에서 산책을 하는건가요? ㅎㅎ. 아니요! 푸시업이나 철봉에서 턱걸이하는거에요! 아하. 혹시 헬스장에서 근력운동을 하시나요? 근처 학교 운동장에서 하시나요? 헬스장은 안가고 집 근처 공원에서 해요! 그렇군요. ㅎㅎ 혹시 헬스장을 다닌 적이 있나요? 다녔었어요. 근데 저랑은 잘 안맞더라구요. 재미도 없어서요ㅋㅋ. 님은요? 저는 요가를 싫어하기 때문에 헬스장에 다닌 적이 있는데 재미없어서 이젠 안 다녀요. 그리고 약속때문에 가볼게요. 그렇군요. 이제 다시 일하러 가볼게요. 다음에 톡드릴게요!,정상,피싱,100.0%,X
안녕하세요. ㅎㅎ 어제 일을 잘 마무리하셨나요? 네. 오늘도 힘내서 일해야죠~. 좋은아침이네요. 네. 좋은 아침이예요. ㅎㅎ 갑자기 궁금한건데 출퇴근할 때 뭐로 출퇴근하시나요? 출퇴근할때는 보통 자전거로 출퇴근한답니다. 운동도 되고 좋죠! 오. 운동을 정말 좋아하시나봐요. ㅎㅎ 자전거 운동이 허벅지에 좋다던데 효과 보셨나요? 네! 허벅지가 튼튼해서 그런가 제가 하루종일 활력이 넘치나봐요~. 오. 그리고 허벅지가 튼튼하면 장수한다던데 혹시 알고 계셨나요? 아 진짜요? 더 열심히 자전거를 탈 이유가 생겼네요ㅋㅋ. 허벅지 운동 하시나요? 저는 스쿼트 운동으로 허벅지 운동을 해요. ㅎㅎ. 스쿼트 좋죠~. 저도 옛날엔 중량 스쿼트를 했지만 지금은 맨몸만 한답니다. 그렇군요. ㅎㅎ 혹시 당신은 오늘 아침에 식사는 하셨나요? 네. 식사했어요. 참고로 저는 미역국라면에 밥을 말아먹었어요! 그렇군요. 저는 아직 아침 식사를 못 해서 배고픈데 아침먹고 나중에 또 연락해도 될까요? 네. 덕분에 재밌었어요. 다음에 또 연락주세요! 그때까지 기다릴게요.,정상,피싱,99.1%,X
안녕하세요 전기정보공학부가 부전공인 20대 여성입니다 안녕하세요 저는 20대여성이고 컴퓨터공학부 전공입니다! 저는 파충류를 싫어 합니다. 좋아하는 동물이 있으신가요? 저도 파충류나 벌레를 무척이나 싫어하고 강아지를 좋아합니다! 좋아하는 음식은 무엇인가요? 저는 한식을 좋아합니다. 밥힘이 최고라고 생각해요 저도 한식을 제일 좋아합니다. 다만 싱거운 음식을 좋아하는 편이라 저염식 위주로 먹고 있습니다. 건강에 좋을꺼 같아요 저는 음식은 조절하지 않지만 운동을 좋아합니다 요즘은 축구를 자주 합니다. 상쾌하고 좋아요 와 축구를 하시다니 정말 멋있어요! 그럼 주로 주말에는 운동을 하시는 편인가요?  내 운동은 주말마다 꾸준히 하려고 해요! 요즘은 여자 축구도 많더라구요 맞아요. 요새느 여자분들도 축구를 하시더라구요. 저는 종교가 없어서 주말이 널널한 편이라 주로 쉬는 날에는 보고싶었던 영화들을 몰아서 보고는 합니다. 영화 보는거 너무 좋은데요^^ 저는 미드를 좋아합니다 맞아요 종방할때까지 기다렸다 이어보는게 참 좋습니다 오늘 저녁에도 시간나면 볼 계획입니다 ㅎㅎ. 지금도 좀 봐야겠어요!,정상,피싱,100.0%,X
4주만이네요 그동안 잘 지내셨나요? 오랜만입니다. 저는 잘 지냈습니다. 잘 지내셨나요? 네 잘 지냈습니다. 친구들과 함께 놀러가려고 계획을 짜고 있는 중이였어요 재미있겠네요! 어디로 가실 계획이신가요? 저희는 가평으로 가려고 합니다.  가평이 캠핑이나 레저를 즐기기에는 딱 좋다던데 무엇을 하실 계획이신가요? 고기 구워먹고 불멍도 하고 술도 마실껍니다 놀러가서 구워먹는 고기가 진짜 맛있죠. 저는 대학생때 가평으로 MT를 간 적이 있습니다! 그 때 당시에 여름이라 빠지 갔었습니다. 빠지도 좋죠. 저희는 겨울이라 스키나 다른 스포츠를 생각했지만 그냥 편히 먹고 마시고 오기로 했습니다 일단 놀러가는것 만으로도 너무 좋잖아요 ㅎㅎ 저는 단양으로 놀러갈까 계획중입니다!  단양도 너무 좋지요~!! 단양에는 볼거리가 많겠어요 가서 패러글라이딩을 해볼 계획입니다! 단양에 패러글라이딩이 유명하더라구요. 저는 2박 3일정도 계획했는데 얼마나 계획하셨나요? 저는 1박 2일이에요! 패러글라이딩 너무 신날꺼 같습니다 가평도 너무 재밌을것 같아요! 재밌게 잘 놀다오시길 바랄게요!,정상,피싱,100.0%,X
"5주만이네요 그동안 잘 지내셨나요? 오랜만에 뵙네요. 네, 저는 잘 지냈습니다. 여행은 잘 다녀오셨나요? 네 잘 다녀왔습니다. 오랜만에 친구들과 웃고 떠들고 아주 즐거웠어요 너무 재미 있었겠네요. 가서 무엇을 하셨나요? 가서 불피우고 술마시고 고기먹고 게임하고 놀았습니다 가는데 자가용을 이용하셨나요? 네 차 2대로 나눠타고 다녀왔습니다 친구들끼리 여행갈때 운전 잘하는 친구는 꼭 필요한것 같아요! 저는 운전을 하지 못해서요. 저도 운전면허는 있지만 운전을 하진 못합니다. 그래서 친구차를 함께 타고 갔습니다 저도 운전면허는 있지만 장롱면허에요. 근데 제 주변 친구들 대부분이 운전을 하지 못해서 저는 주로 뚜벅이 여행을 하는 편 입니다. 조금 불편하지만 운전은 너무 어렵기도 하고 무서워서 시도를 못하겠어요 저도 계속 안하다보니 못하겠더라구요. 평소에는 불편함을 못 느끼다가 여행 갈 때 느끼게 돼요.  여행갈때 경비같은 경우는 어떻게 하시는 편인가요? 친구들이랑은 회비를 모아서 거기서 지출을 합니다 저도 주로 회비를 모아서 예산을 짜는 편입니다. 친구들하고 이야기 좀 하고 올게요!",정상,피싱,99.8%,X
"10일만이네요 그동안 잘 지내셨나요? 오랜만에 뵙네요. 네, 저는 잘 지냈습니다. 그동안 잘 지내셨나요? 네 잘지냈습니다. 친구들과 여행다녀온후 다들 너무 좋아서 계처럼 매달 돈을 모아 또 가기로 했어요 저도 친구와 달마다 여행회비를 걷고 있습니다! 벌써 100 넘게 모여서 조만간 여행을 갈 계획입니다. 와! 멋있네요! 저희도 열심히 모아봐야 겠어요 보통 얼마주기로 여행을 가시는 편 이신가요? 저는 가족여행 친구들 여행 합치면 거의 한달에 한번은 가는거 같습니다 자주 가시는 편 이시군요! 저는 주로 4개월에 한번씩 가는 편 입니다! 이제 더 나이가 들면 많이 못다닐꺼 같아 열심히 다니고 있습니다 맞아요. 어릴때 다니는게 좋은것 같아요. 일 시작하면 시간이 없어지다보니 가고 싶어도 가지를 못하네요. 가족과 함께 여행을 가는것도 재미있어요. 싸우기도 하지만 끈끈해진 느낌이요 그리고 가족들이랑 여행가면 뭔가 더 편안한 느낌도 있죠 ㅎㅎ  크리스마스에 가족과 함께 지낼 예정이라 이제 상의해볼까 해요 저도 크리스마스에는 가족들과 함께 보내야 겠어요.",정상,피싱,99.5%,X
안녕하세요. 30대 남성이네요~ 반갑네요. 안녕하세요. 저는 40대 여자입니다. 반가워요. 어서오세요. 주말 아침인데 뭐 하시나요? 앨범 보고 있었어요! 제가 몽골아 가봤는데 풍경이 좋아서 여러 사진을 찍었거든요~ 멋지네요~ 저는 걷기를 좋아해서 동네 한바퀴 걷고 왔어요. 그러시구나~ 운동도 되고 좋겠네요~ㅎㅎ. 제 생일이 10월인데 시간 맞춰서 저도 여행이나 가고 싶네요. 오! 곧 생일이시네요~ 간다면 어디로 가고 싶으신가요? 저도 자연을 보고 싶네요~ 몽골은 한적하죠? 네. 한적하더라고요~ 제가 O형인데 적극적이라서 도전해 본 거예요~ 그렇군요~ 제가 플루트를 가끔 연주하는데 몽골 평원에서 연주 해보고 싶어요. 우와~ 그거 정말 멋지겠네요~ @브랜드명1@에 올리면 조회수 꽤 나올 것 같은데~ㅎㅎ. 그정도 실력은 안되네요~ㅎㅎ 저는 이만 새차하러 가볼게요. 그래도 도전해 보세요~ㅎㅎ 네! 알겠습니다! 다음에 또 이야기해요~,정상,피싱,100.0%,X
새차하고 우리 강아지 미용좀 하고 왔더니 5시간이 걸렸네요~ 그러시군요~ 저는 저녁에 친구를 만나서 곧 나가봐야 되는데~ㅎㅎ. 그렇군요~ 오늘 약속이 있군요~ 반려동물 키우나요? 반려동물은 키웠는데 입양했네요. 제가 책임감이 부족해서.. 그런 제 자신이 자주 한심스러워요. 그래도 다른 주인한테 간거면 다행이네요~ 그렇죠. 아마 저한테 있는 것보다 더 행복할 거예요. 지금 주인은 미용도 잘 시키더라고요~ 강아지 미용이 사람 하는것보다 어렵더군요~ 그런 것 같아요~ 막 짖기도 하니까요~ 사람은 가만히 있는데 강아지는 안그렇죠~ㅎㅎ. 그쵸~ㅋㅋ 아마도 짖는 강아지들은 뭐하는지 모를 거예요~ @이름1@도 자기 머리카락 처음 자를때 울곤 하잖아요~ㅎㅎ. 그렇더라고요~ 그래도 사람은 금방 적응하잖아요~ 맞아요~ㅎㅎ 저는 이만 산책하러 가볼게요. 네~ 알겠습니다. 그럼 다음에 또 이야기해요!,정상,피싱,100.0%,X
"하루가 지났네요~ 어제 산책하다가 정말 신기하게 미용한 강아지를 봤어요. 안녕하세요~ 아, 그런가요? 어떻게 미용을 했길래요~ㅋㅋ. 털이 검은색이랑 흰색 섞인것 같은데 하트모양으로 했네요~ 아~ㅋㅋ 그거 재밌었겠네요~ 주인도 개성이 강할 것 같네요! 그러니까요~ㅎㅎ 저희집 강아지는 산책만 가면 신나서 제가 다 지치네요~ㅋㅋ. 강아지가 산책을 정말 좋아하나 보네요~ㅋㅋ 산책은 얼마나 하시나요? 맞아요~ 한시간 정도 하는데 체력은 별로인지 한번하면 강아지도 지쳐요~ㅋㅋ. 그렇군요~ 그럼 산책은 일주일에 자주 가나요? 매일 가려고 노력해요~ 특별한일 없으면 매일가요. 정말 부지런하시네요~ 강아지도 정말 사랑하시나 봐요~ㅎㅎ. 강아지 덕분에 저도 운동하고 좋죠. 그렇겠네요! 걷는 것도 운동이 되니까요~ 맞아요~ 저는 이만 샤워하러 가볼게요. 네. 알겠습니다~ 그러면 또 이야기해요~",정상,피싱,99.9%,X
